NatEmis,Province,Official_Institution_Name,STATUS,Sector,Phase_PED,Specialisation,GIS_Long,GIS_Lat,District Mun Name,Local MunName,Ward_ID,StreetAddress,Telephones,Telephone,Section21,School Fees,Urban_Rural,Towns/suburb,suburb_Latitude,suburb_longitude,Distance
700400770,Gt,Lynnwood Manor Private School,Open,Independent,Primary School,Ordinary,28.290307,-25.75658,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900046,"99, Brampton Street, Lynnwood Manor, Pretoria",123489998,123489998,No,Yes,Urban,Lynnwood Manor,-25.7630556,28.2811111,5.193574303858964
700401072,Gt,Advanced College Brooklyn,Open,Independent,Combined School,Ordinary,28.248905,-25.768852,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900082,"415, Marais Road, Brooklyn, Pretoria",120301031,120301031,No,Yes,Urban,Brooklyn ,-25.7646,28.2393,1.072505317336326
700400322,Gt,Nooitgedacht Akademie Skool,Open,Independent,Intermediate School,Ordinary,28.743439411,-25.803851318,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900105,"17, Mark Street, Nooitgedacht, Bronkhorspruit",732577542,732577542,No,Yes,Urban,Bronkhorstspruit,-25.8084,28.7081,50.75173444343299
700401082,Gt,Melwood Institute Of Technology,Open,Independent,Secondary School,Ordinary,28.191676,-25.742973,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900058,"274,  Johannes Ramokhoase Street, Pretoria",123270294,123270294,No,Yes,Urban,Pretoria Central,-25.7518426,28.1899743,5.344981094590536
700400787,Gt,British International College-Pretoria,Open,Independent,Secondary School,Ordinary,28.218095,-25.744145,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900092,"774, Church Street, Eastwood, Pretoria",117067775,117067775,No,Yes,Urban,Eastwood,-25.7411,28.2198,3.108209528382718
700401067,Gt,Bristol Training College,Open,Independent,Combined School,Ordinary,28.191083,-25.744607,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900058,"262, Madiba Street, Pretoria Central, Pretoria",732887174,732887174,No,Yes,Urban,Pretoria Central,-25.7518426,28.1899743,5.320327615463007
700400304,Gt,Marthie De Bruin Sentrum,Open,Independent,Combined School,Ordinary,28.358889,-25.800278,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900101,"93, Henry Street, , Lynwood, Pretoria",128090963,128090963,No,Yes,Urban,Lynnwood,-25.7643,28.2673,12.62939192219256
700401071,Gt,Monaghan Montessori,Open,Independent,Primary School,Ordinary,27.932295,-25.909326,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900048,"181, Ashenti Road, Monaghan Farm, Lanseria, Lanseria",827196842,827196842,No,Yes,Urban,Monaghan Farm,-25.90190525,27.93345944509165,34.70470363350879
700400490,Gt,Ora Et Labora Primary School,Open,Independent,Primary School,Ordinary,28.328562,-25.713444,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900038,"71, Boundary Lane, Sun Valley, Mamelodi East, Pretoria",719090993,719090993,No,Yes,Urban,Sun Valley Mamelodi,-25.7097,28.3272,10.59878777687146
700400727,Gt,Stratford Preparatory School,Open,Independent,Primary School,Ordinary,28.286053,-25.800736,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900045,"482, Grunberger Street, Constantia Park, Pretoria",791302857,791302857,No,Yes,Urban,Constantia Park,-25.8080556,28.2822222,6.165779682437416
700400753,Gt,Ligno Vitae Academy,Open,Independent,Combined School,Ordinary,28.271021,-25.732499,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900087,"27, Frans Odendaal Street, Weavind Park, Pretoria",128041736,128041736,No,Yes,Urban,Weavind Park,-25.7322,28.2717,4.772405961644133
700401049,Gt,Christelike Laeskool Eloffsdal,Open,Independent,Primary School,Ordinary,28.188639,-25.706528,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900054,"760, Mance Avenue, Mayville, Pretoria",662230898,662230898,No,Yes,Urban,Mayville,-25.7011254408,28.1815616199,8.19937940414614
700400806,Gt,Enderun College (For Boys),Open,Independent,Primary School,Ordinary,28.08198,-25.771802,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900051,"2A, Cnr Monoa And Thindiza Street, Atteridgeville, Pretoria",123730551,123730551,No,Yes,Urban,Atteridgeville,-25.7629818,28.0748568,15.80145619492727
700400866,Gt,Tshwane City College,Open,Independent,Secondary School,Ordinary,28.191083,-25.744607,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900058,"262, Madiba Street, Pretoria Central, Pretoria",123236550,123236550,No,Yes,Urban,Pretoria Central ,-25.7518426,28.1899743,5.320327615463007
700400470,Gt,Moot Christian Academy,Closed,Independent,Combined School,Ordinary,28.21422,-25.711994,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900053,"613, 16 Th Avenue, Rietfontein, Pretoria",213318274,213318274,No,Yes,Urban,Rietfontein,-25.7091,28.2205,6.348005389797503
700232702,Gt,Anchor Christian Academy,Open,Independent,Combined School,Ordinary,28.276813,-25.70773,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900087,"69, Swaan Street, East Lynne, Waverly, Pretoria",722019944,722019944,No,Yes,Urban,East Lynne,-25.7064,28.273,7.339057555054707
700400578,Gt,Jong Leerling Akademie,Open,Independent,Primary School,Ordinary,28.287188,-25.784619,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900045,"245, Harold Kitson, Garsfontein, Pretoria",123616314,123616314,No,Yes,Urban,Garsfontein,-25.7944444,28.3,5.29081296015736
700401020,Gt,Moot Akademie Pretoria,Open,Independent,Primary School,Not Applicable,28.2358,-25.7209,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900084,"377, 30Th Avenue, Villieria, Pretoria",128001268,128001268,No,Yes,Urban,Villieria,-25.7161111,28.2355556,4.853983453189252
700400501,Gt,Excelsior Rooihuiskraal Akademie,Open,Independent,Secondary School,Ordinary,28.151564,-25.898095,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900064,"7, Vlakvoeltjie, Rooihuiskraal, Centurion",126610528,126610528,No,Yes,Urban,Rooihuiskraal,-25.8933333,28.1513889,17.20757166686178
700400862,Gt,Imperial London Private High School,Open,Independent,Secondary School,Ordinary,28.202874,-25.741376,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900058,"1, Bailey Road, Arcadia, Pretoria",120400060,120400060,No,Yes,Urban,Arcadia,-25.7453,28.203,4.469317713452527
700401009,Gt,Morning Star Montessori School,Open,Independent,Primary School,Ordinary,28.304215,-25.776398,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900044,"353-357,  Manitoba Drive, Faerie Glen, Faerie Glen, Pretoria",129910228,129910228,No,Yes,Urban,Faerie Glen,-25.7816666,28.3077777,6.641596651646235
700400345,Gt,Haywood College,Open,Independent,Secondary School,Ordinary,28.18534,-25.7427,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900058,"80, Bosman Street,Pretoria Cental , Pretoria",124425075,124425075,No,Yes,Urban,Pretoria Central,-25.7518426,28.1899743,5.932373865987871
700401052,Gt,Rietvlei Akademie-Lyttelton,Open,Independent,Primary School,Ordinary,28.206802,-25.833361,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900057,", Cnr Langebrink And Burger Avenue, Lyttelton, Centurion",674125036,674125036,No,Yes,Urban,Lyttelton,-25.8181,28.2117,8.285595277610643
700400495,Gt,Sedco College-Pretoria,Open,Independent,Secondary School,Ordinary,28.197926,-25.749618,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900058,"325, Du-Toit Street Cnr Skinner Street, Pretoria Cbd, Pretoria",124425134,124425134,No,Yes,Urban,Pretoria Central,-25.7518426,28.1899743,4.470299075319295
700400762,Gt,Everest Academy,Open,Independent,Primary School,Ordinary,28.30997,-25.814891,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900045,"1031, Seeleeu Street, Pretorius Park, Pretoria",129933709,129933709,No,Yes,Urban,Pretorius Park,-25.810419,28.330058,9.015497783520722
700400144,Gt,Revival Christian School,Open,Independent,Combined School,Ordinary,28.184342961,-25.698404312,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900054,"1, Cnr. Dortimer Street And Baan Street, , Mayville, Pretoria",721518242,721518242,No,Yes,Urban,Mayville,-25.7011254408,28.1815616199,9.17551221557507
700211888,Gt,Village Montessori High School,Open,Independent,Intermediate School,Ordinary,28.193235,-25.840616667,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900057,"245, Glover Avenue, , Lyttleton, Centurion",126642944,126642944,No,Yes,Urban,Lyttelton,-25.8181,28.2117,9.60533520708326
700400941,Gt,Stenham Private School,Open,Independent,Combined School,Ordinary,28.152553,-25.748546,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900060,"255, Cnr Rose Etta And Fw Nkomo, Pretoria West, Pretoria",121111075,121111075,No,Yes,Urban,Pretoria West,-25.7494725,28.1568104,8.882607640335427
700400990,Gt,Silver Oaks International,Open,Independent,Secondary School,Ordinary,28.258242,-25.778015,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900082,"40, Pinaster Street, Hazelwood, Pretoria",123464770,123464770,No,Yes,Urban,Hazelwood,-25.7778,28.2578,2.412269103032592
700400444,Gt,Rostec Technical College- Pta,Open,Independent,Secondary School,Not Applicable,28.196797,-25.746906,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900058,"378, Pretorius Street, Rezmep Building, Pretoria Central, Pretoria",123208078,123208078,No,Yes,Urban,Pretoria Central,-25.7518426,28.1899743,4.693047246002259
700400135,Gt,Pierre Van Ryneveld Christian Academy Independent School,Open,Independent,Intermediate School,Ordinary,28.242503932,-25.838681438,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900079,"102, 102 Spitfire Avenue, , Pierre Van Ryneveld, Centurion",126620469,126620469,No,Yes,Urban,Pierre Van Ryneveld,-25.8369444,28.2416667,8.213396452340897
700230953,Gt,Laerskool Presda,Open,Independent,Primary School,Ordinary,28.3800802,-25.83096342,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900091,"91, Zwavelpoort, , Zwavelpoort, Bronkhostspruit",129961629,129961629,No,Yes,Urban,Zwavelpoort,-25.7811427273,28.3883290909,15.91818651406878
700241787,Gt,Charis Christian School,Open,Independent,Combined School,Ordinary,28.19339968,-25.67345241,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900096,"1, Corner Of Sage And Lavender Roads, Wonderboom, Sinoville, Akasia",125430518,125430518,No,Yes,Urban,Wonderboom,-25.6833333,28.2113889,11.09869332504802
700400189,Gt,The Village Waldorf Independent Primary School,Open,Independent,Primary School,Ordinary,28.25844,-25.837,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900047,"48, Blue Crane Avenue, Rietvalleirand, Rietvaleirand, Pretoria",123453771,123453771,No,Yes,Urban,Rietvalleirand,-25.8367388,28.2523976,8.247308406440695
700401012,Gt,3D Christian Academy,Open,Independent,Secondary School,Ordinary,28.163914,-25.856549,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900078,"280, Tipperary Street, Bronberrick,  Centurion",126600212,126600212,No,Yes,Urban,Bronberrick,-25.8591667,28.1683333,12.68514767884327
700400553,Gt,Edu-Clinic Learning Centre,Open,Independent,Intermediate School,Ordinary,28.09154,-25.811435,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900061,"386, Vrolikspruit Street, Erasmia, Pretoria",123741758,123741758,No,Yes,Urban,Erasmia,-25.8123747,28.0944415,15.70188853109848
