NatEmis,Province,Official_Institution_Name,STATUS,Sector,Phase_PED,Specialisation,GIS_Long,GIS_Lat,District Mun Name,Local MunName,Ward_ID,Town_City,StreetAddress,Telephone,Section21,School Fees,Urban_Rural,Town_Suburb,Towns/suburb,suburb_coordinates
700400770,GT,LYNNWOOD MANOR PRIVATE SCHOOL,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.290307,-25.75658,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900046,LYNNWOOD MANOR,"99, BRAMPTON STREET, LYNNWOOD MANOR, PRETORIA",123489998,NO,Yes,URBAN,LYNNWOOD MANOR,Lynnwood Manor,"(-25.7630556, 28.2811111)"
700401072,GT,ADVANCED COLLEGE BROOKLYN,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.248905,-25.768852,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900082,BROOKLY,"415, MARAIS ROAD, BROOKLYN, PRETORIA",120301031,NO,Yes,URBAN,BROOKLYN ,Brooklyn ,"(-25.7646, 28.2393)"
700400322,GT,NOOITGEDACHT AKADEMIE SKOOL,OPEN,INDEPENDENT,INTERMEDIATE SCHOOL,ORDINARY,28.743439411,-25.803851318,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900105,BRONKHORSPRUIT,"17, MARK STREET, NOOITGEDACHT, BRONKHORSPRUIT",732577542,NO,Yes,URBAN,BRONKHORSTSPRUIT,Bronkhorstspruit,"(-25.8084, 28.7081)"
700401082,GT,MELWOOD INSTITUTE OF TECHNOLOGY,OPEN,INDEPENDENT,SECONDARY SCHOOL,ORDINARY,28.191676,-25.742973,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900058,PRETORIA CENTRAL,"274,  JOHANNES RAMOKHOASE STREET, PRETORIA",123270294,NO,Yes,URBAN,PRETORIA CENTRAL,Pretoria Central,"(-25.7518426, 28.1899743)"
700400787,GT,BRITISH INTERNATIONAL COLLEGE-PRETORIA,OPEN,INDEPENDENT,SECONDARY SCHOOL,ORDINARY,28.218095,-25.744145,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900092,PRETORIA,"774, CHURCH STREET, EASTWOOD, PRETORIA",117067775,NO,Yes,URBAN,EASTWOOD,Eastwood,"(-25.7411, 28.2198)"
700401067,GT,BRISTOL TRAINING COLLEGE,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.191083,-25.744607,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900058,PRETORIA,"262, MADIBA STREET, PRETORIA CENTRAL, PRETORIA",732887174,NO,Yes,URBAN,PRETORIA CENTRAL,Pretoria Central,"(-25.7518426, 28.1899743)"
700400304,GT,MARTHIE DE BRUIN SENTRUM,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.358889,-25.800278,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900101,PRETORIA,"93, HENRY STREET, , LYNWOOD, PRETORIA",128090963,NO,Yes,URBAN,LYNNWOOD,Lynnwood,"(-25.7643, 28.2673)"
700401071,GT,MONAGHAN MONTESSORI,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,27.932295,-25.909326,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900048,LANSERIA,"181, ASHENTI ROAD, MONAGHAN FARM, LANSERIA, LANSERIA",827196842,NO,Yes,URBAN,MONAGHAN FARM,Monaghan Farm,"(-25.90190525, 27.933459445091653)"
700400490,GT,ORA ET LABORA PRIMARY SCHOOL,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.328562,-25.713444,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900038,PRETORIA,"71, BOUNDARY LANE, SUN VALLEY, MAMELODI EAST, PRETORIA",719090993,NO,Yes,URBAN,SUN VALLEY MAMELODI,Sun Valley Mamelodi,"(-25.7097, 28.3272)"
700400727,GT,STRATFORD PREPARATORY SCHOOL,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.286053,-25.800736,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900045,PRETORIA,"482, GRUNBERGER STREET, CONSTANTIA PARK, PRETORIA",791302857,NO,Yes,URBAN,CONSTANTIA PARK,Constantia Park,"(-25.8080556, 28.2822222)"
